"rules","support","confidence","coverage","lift","count"
"{No} => {Support_Group_No}",0.417169107091588,0.835537665324899,0.499282227964399,0.993234705913524,1453
"{No} => {Political_No}",0.452196382428941,0.905692926969523,0.499282227964398,0.99953373404146,1575
"{Yes} => {Social_Club_No}",0.403387884008039,0.805619266055046,0.500717772035602,0.992210715583354,1405
"{Yes} => {Support_Group_No}",0.424059718633362,0.846903669724771,0.500717772035602,1.00674589817453,1477
"{Yes} => {Political_No}",0.453919035314384,0.906536697247706,0.500717772035602,1.00046492918687,1581
"{F} => {Social_Club_No}",0.414585127763422,0.806703910614525,0.513924777490669,0.993546577323335,1444
"{F} => {Support_Group_No}",0.430376112546655,0.837430167597765,0.513924777490669,0.995484393768948,1499
"{F} => {Political_No}",0.465403387884008,0.905586592178771,0.513924777490669,0.999416381672579,1621
"{Religious_No} => {Hobbies_No}",0.520241171403962,0.894814814814815,0.581395348837209,1.27835931091058,1812
"{Religious_No} => {Social_Club_No}",0.540625897215045,0.929876543209877,0.581395348837209,1.14524752475248,1883
"{Religious_No} => {Support_Group_No}",0.491530289979902,0.845432098765432,0.581395348837209,1.00499658703072,1712
"{Religious_No} => {Political_No}",0.527418891759977,0.90716049382716,0.581395348837209,1.00115335868188,1837
"{Family_No} => {Hobbies_No}",0.496985357450474,0.814588235294118,0.610106230261269,1.16374521063553,1731
"{Family_No} => {Social_Club_No}",0.550961814527706,0.903058823529412,0.610106230261269,1.11221848739496,1919
"{Family_No} => {Support_Group_No}",0.51937984496124,0.851294117647059,0.610106230261269,1.01196498695041,1809
"{Family_No} => {Political_No}",0.556991099626759,0.912941176470588,0.610106230261269,1.00753299038246,1940
"{Professional_No} => {Social_Club_No}",0.551823140970428,0.816829579260518,0.675567039908125,1.00601747686152,1922
"{Professional_No} => {Support_Group_No}",0.582830892908412,0.862728431789205,0.675567039908125,1.02555738154328,2030
"{Professional_No} => {Political_No}",0.631639391329314,0.93497662558436,0.675567039908125,1.03185158013635,2200
"{Hobbies_No} => {Social_Club_No}",0.635371805914442,0.907711238720262,0.699971289118576,1.11794845985243,2213
"{Hobbies_No} => {Support_Group_No}",0.601205857019811,0.85890073831009,0.699971289118576,1.02100725990923,2094
"{Hobbies_No} => {Political_No}",0.639104220499569,0.91304347826087,0.699971289118576,1.00764589188296,2226
"{Social_Club_No} => {Support_Group_No}",0.695377548090726,0.856435643564356,0.811943726672409,1.01807691008009,2422
"{Support_Group_No} => {Social_Club_No}",0.695377548090726,0.826621160409556,0.84122882572495,1.01807691008009,2422
"{Social_Club_No} => {Political_No}",0.741027849554981,0.912659123055163,0.811943726672409,1.00722171280137,2581
"{Political_No} => {Social_Club_No}",0.741027849554981,0.817807351077313,0.906115417743325,1.00722171280137,2581
"{Support_Group_No} => {Political_No}",0.782084409991387,0.929692832764505,0.84122882572495,1.02602032209087,2724
"{Political_No} => {Support_Group_No}",0.782084409991387,0.863117870722434,0.906115417743325,1.02602032209087,2724
"{Hobbies_Yes,Social_Club_Yes} => {Religious_Yes}",0.109675567039908,0.888372093023256,0.123456790123457,2.12222222222222,382
"{Hobbies_Yes,Social_Club_Yes} => {Political_No}",0.108814240597186,0.881395348837209,0.123456790123457,0.972718631178707,379
"{Family_Yes,Social_Club_Yes} => {Political_No}",0.113695090439276,0.88195991091314,0.128911857594028,0.973341688754901,396
"{Religious_Yes,Social_Club_Yes} => {Political_No}",0.129486075222509,0.879142300194932,0.147286821705426,0.97023213928357,451
"{Professional_No,Social_Club_Yes} => {Support_Group_No}",0.101923629055412,0.823665893271462,0.123743898937697,0.979122288827475,355
"{Professional_No,Social_Club_Yes} => {Political_No}",0.112833763996555,0.911832946635731,0.123743898937697,1.00630993445255,393
"{Social_Club_Yes,Support_Group_No} => {Political_No}",0.132931380993396,0.911417322834646,0.145851277634223,1.00585124696865,463
"{Political_No,Social_Club_Yes} => {Support_Group_No}",0.132931380993396,0.805217391304348,0.165087568188343,0.957191868229708,463
"{F,Short} => {Political_No}",0.101636520241171,0.921875,0.110249784668389,1.01739246673004,354
"{Religious_No,Short} => {Hobbies_No}",0.101349411426931,0.886934673366834,0.114269308067758,1.26710150423982,353
"{Religious_No,Short} => {Social_Club_No}",0.106517370083262,0.9321608040201,0.114269308067758,1.14806084879845,371
"{Religious_No,Short} => {Political_No}",0.105368934826299,0.922110552763819,0.114269308067758,1.01765242562623,367
"{Family_No,Short} => {Social_Club_No}",0.10565604364054,0.888888888888889,0.118863049095607,1.09476661951909,368
"{Family_No,Short} => {Support_Group_No}",0.101923629055412,0.857487922705314,0.118863049095607,1.01932779344116,355
"{Family_No,Short} => {Political_No}",0.109962675854149,0.92512077294686,0.118863049095607,1.02097454124649,383
"{Professional_No,Short} => {Social_Club_No}",0.111398219925352,0.801652892561983,0.138960666092449,0.98732568062001,388
"{Professional_No,Short} => {Support_Group_No}",0.121159919609532,0.871900826446281,0.138960666092449,1.03646094829775,422
"{Professional_No,Short} => {Political_No}",0.130060292850991,0.935950413223141,0.138960666092449,1.03292626402288,453
"{Hobbies_No,Short} => {Social_Club_No}",0.125466551823141,0.906639004149378,0.138386448463968,1.11662788240887,437
"{Hobbies_No,Short} => {Support_Group_No}",0.117427505024404,0.848547717842324,0.138386448463968,1.0087002393327,409
"{Hobbies_No,Short} => {Political_No}",0.128337639965547,0.927385892116183,0.138386448463968,1.02347435432214,447
"{Short,Social_Club_No} => {Support_Group_No}",0.13924777490669,0.850877192982456,0.16365202411714,1.01146937309143,485
"{Short,Support_Group_No} => {Social_Club_No}",0.13924777490669,0.804311774461028,0.17312661498708,0.990600392661868,485
"{Short,Social_Club_No} => {Political_No}",0.149296583405111,0.912280701754386,0.16365202411714,1.00680408244947,520
"{Political_No,Short} => {Social_Club_No}",0.149296583405111,0.8,0.186620729256388,0.985289957567185,520
"{Short,Support_Group_No} => {Political_No}",0.161642262417456,0.933665008291874,0.17312661498708,1.03040406333352,563
"{Political_No,Short} => {Support_Group_No}",0.161642262417456,0.866153846153846,0.186620729256388,1.02962929902862,563
"{Family_Yes,Hobbies_Yes} => {Religious_Yes}",0.154751650875682,0.827956989247312,0.186907838070629,1.9778972520908,539
"{Family_Yes,Hobbies_Yes} => {Political_No}",0.167958656330749,0.898617511520737,0.186907838070629,0.991725219463475,585
"{Hobbies_Yes,M} => {Religious_Yes}",0.123456790123457,0.806754221388368,0.153028997990238,1.92724619553888,430
"{Hobbies_Yes,Professional_No} => {Religious_Yes}",0.1633649153029,0.801408450704225,0.203847258110824,1.91447574334898,569
"{Hobbies_Yes,Religious_Yes} => {Political_No}",0.212747631352283,0.890625,0.238874533448177,0.982904586501901,741
"{Hobbies_Yes,Long} => {Political_No}",0.111398219925352,0.887871853546911,0.125466551823141,0.979866180577912,388
"{Hobbies_Yes,M} => {Support_Group_No}",0.123169681309216,0.804878048780488,0.153028997990238,0.95678847914759,429
"{Hobbies_Yes,M} => {Political_No}",0.13465403387884,0.879924953095685,0.153028997990238,0.971095884547614,469
"{Hobbies_Yes,No} => {Support_Group_No}",0.120585701981051,0.801526717557252,0.150445018662073,0.952804627048433,420
"{Hobbies_Yes,No} => {Political_No}",0.134366925064599,0.893129770992366,0.150445018662073,0.985668882245378,468
"{Hobbies_Yes,Yes} => {Political_No}",0.132644272179156,0.886756238003839,0.149583692219351,0.978634973690548,462
"{F,Hobbies_Yes} => {Political_No}",0.132357163364915,0.900390625,0.146999712891186,0.993682049073194,461
"{Hobbies_Yes,Professional_No} => {Support_Group_No}",0.16824576514499,0.825352112676056,0.203847258110824,0.98112676056338,586
"{Hobbies_Yes,Professional_No} => {Political_No}",0.18748205569911,0.919718309859155,0.203847258110824,1.0150123172495,653
"{Hobbies_Yes,Social_Club_No} => {Support_Group_No}",0.146999712891186,0.832520325203252,0.176571920757967,0.98964788146175,512
"{Hobbies_Yes,Social_Club_No} => {Political_No}",0.158196956646569,0.895934959349593,0.176571920757967,0.988764722247983,551
"{Hobbies_Yes,Support_Group_No} => {Political_No}",0.220786678151019,0.919856459330144,0.240022968705139,1.01516478068659,769
"{Hobbies_Yes,Political_No} => {Support_Group_No}",0.220786678151019,0.826881720430108,0.267011197243755,0.982945062204118,769
"{Medium,Professional_Yes} => {Social_Club_No}",0.102210737869653,0.818390804597701,0.12489233419466,1.0079403014193,356
"{Medium,Professional_Yes} => {Political_No}",0.106230261269021,0.850574712643678,0.12489233419466,0.938704602071588,370
"{Family_Yes,Professional_Yes} => {Political_No}",0.108240022968705,0.830396475770925,0.130347401665231,0.916435654344148,377
